HorseName;Class;Number;J1;J2;J3;Year
ABADESSA;3;3;78,000;78,250;78,500;2011
ABAST;6;83;77,500;81,000;78,250;2017
ABAST;8;58;81,500;81,000;77,500;2016
ABBU;6;22;75,500;75,250;75,000;2011
ABDUL MB;10;15;74,000;75,500;73,000;2011
AFRICA TR;2;32;78,500;78,500;78,000;2013
AFRICA TR;2;21;77,500;77,500;76,500;2012
AIRE DEL NORD;12;16;72,500;73,750;72,500;2011
AKIRO YK;9;35;68,500;72,000;71,000;2012
ALAMO HP;8;99;82,000;84,000;81,000;2023
ALAMO HP;8;88;76,000;78,000;79,000;2019
ALAMO HP;8;77;81,000;79,500;78,500;2018
ALAMO HP;8;84;79,500;76,250;78,500;2017
ALBANO;12;87;0,000;0,000;0,000;2019
ALBANO;10;75;77,000;79,000;78,500;2018
ALBANO;10;82;74,500;75,250;75,750;2017
ALEGRE II;8;30;71,000;73,000;74,000;2012
ALEGRE II;13;20;72,500;73,000;72,500;2011
ALI YCR;6;40;75,500;75,000;77,000;2013
ALI YCR;4;32;74,000;77,500;75,000;2012
ALI YCR;3;21;76,500;78,000;76,500;2011
ALIFANYO;7;37;73,000;78,000;75,500;2013
ALIFANYO;1;33;77,500;79,000;78,000;2012
ALIFANYO;1;10;79,000;77,000;78,000;2011
ALIGOT SF;6;57;84,500;80,500;80,000;2016
ALIGOT SF;8;46;78,000;79,000;77,500;2014
ALIGOT SF;4;39;76,000;77,500;78,500;2013
ALIS SF;3;30;79,000;79,000;76,500;2013
ALLEGRET SV;7;29;71,000;75,000;73,500;2012
ALLEGRET SV;5;12;76,000;75,500;76,500;2011
ALMA II;4;34;76,000;78,000;78,000;2013
ALMA II;4;23;76,500;76,000;76,000;2012
ALPI FR;6;28;71,000;76,000;74,000;2012
ALPI FR;8;11;73,500;75,750;74,500;2011
ALTAYA ML;8;2;73,500;74,500;74,000;2011
ALTIMOR RASE;11;13;72,500;74,500;75,000;2011
AMAYA FG;9;44;0,000;0,000;0,000;2016
AMAYA FG;5;41;80,250;79,000;80,750;2015
AMAYA FG;10;36;75,500;76,250;79,000;2014
AMAYA FG;9;9;0,000;0,000;0,000;2011
AMELIA TB;5;5;76,000;77,500;75,500;2011
AMIGA FG;6;6;75,500;76,500;76,000;2011
AMOROS II;7;52;79,000;79,000;80,500;2015
ANCO;6;48;81,000;78,500;80,500;2015
ANCO;5;36;76,500;76,500;77,500;2013
ANCO;8;31;69,000;75,500;73,500;2012
ANCORA II;1;1;79,500;80,000;77,500;2011
ANDRONA SF;9;74;82,000;79,750;77,500;2019
ANDRONA SF;1;40;82,750;83,500;84,000;2015
ANDRONA SF;1;31;79,000;80,500;78,500;2013
ANDRONA SF;1;24;79,000;78,500;78,500;2012
ANDRONA SF;4;7;77,500;80,000;77,000;2011
ANELLA TB;5;43;83,500;80,000;82,000;2016
ANELLA TB;2;39;83,250;80,500;84,250;2015
ANELLA TB;3;35;80,000;81,250;79,500;2014
ANIBAL GEA;11;59;78,500;78,500;77,500;2016
ANIBAL GEA;9;50;79,500;77,000;77,500;2015
ANIBAL GEA;14;18;0,000;0,000;0,000;2011
ANIM GSM;7;17;75,000;76,000;74,500;2011
ANIT YCR;7;42;80,500;80,500;79,500;2016
ANIT YCR;5;33;76,500;77,500;76,500;2013
ANIT YCR;3;25;77,000;76,000;76,500;2012
ARC II;5;76;83,500;81,000;80,000;2018
ARC II;4;60;84,500;80,000;82,000;2016
ARC II;4;51;81,500;79,500;83,000;2015
ARC II;2;35;77,000;78,500;78,000;2013
ARC II;3;27;73,500;77,500;76,500;2012
ARCA YCR;2;4;79,000;79,000;77,000;2011
ARPA;5;22;72,500;79,500;75,000;2012
ARPA;7;8;75,500;76,500;75,000;2011
AS-DER;4;14;76,000;78,500;75,000;2011
ASTUT;2;49;84,000;82,000;81,000;2015
ASTUT;4;47;78,500;82,000;80,000;2014
ASTUT;1;38;79,500;78,500;78,500;2013
ASTUT;2;26;72,000;78,000;78,000;2012
ATRAM;9;23;75,500;73,000;75,000;2011
ATREVIT SR;6;41;74,500;76,500;76,500;2013
AVENC;10;56;80,000;78,000;78,500;2016
AVENC;11;47;0,000;0,000;0,000;2015
AVENC;11;45;72,000;79,500;79,000;2014
AVENC;3;42;78,000;77,500;77,000;2013
AVENC;5;34;72,000;76,500;77,000;2012
AVENC;2;19;78,000;77,750;77,500;2011
BADLANDS;4;11;81,500;76,000;74,000;2012
BALI JF;5;5;74,000;76,000;74,000;2012
BANDOLERA YSL;6;9;75,500;75,500;72,000;2012
BATUCA;7;16;75,500;76,000;77,000;2013
BATUCA;3;6;75,500;77,000;76,000;2012
BELTRAN TB;11;46;0,000;0,000;0,000;2015
BETZER;5;34;76,000;76,000;75,500;2014
BETZER;4;27;77,500;78,500;76,500;2013
BETZER;3;18;76,500;79,000;76,500;2012
BILI;4;89;81,500;79,500;78,000;2022
BINIFAELL;13;50;79,000;77,500;77,000;2016
BIOSFERA;7;3;72,500;75,000;70,500;2012
BISCUIT TP;6;21;72,500;75,500;76,000;2013
BISCUIT TP;2;10;78,000;77,000;77,500;2012
BLADE YCR;4;73;84,000;82,000;82,500;2018
BLADE YCR;2;70;83,000;83,000;83,250;2017
BLADE YCR;3;51;82,500;84,000;83,000;2016
BLADE YCR;1;29;81,000;82,500;79,500;2014
BLADE YCR;1;25;78,500;79,000;79,000;2013
BLADE YCR;7;12;75,500;78,000;74,000;2012
BLAKY YSG;6;33;74,500;75,500;75,000;2014
BOLERA;4;28;80,000;79,750;77,500;2014
BOLERA;4;20;76,500;78,000;78,500;2013
